Code,Name,Industry
000606.SZ,顺利办,计算机
000607.SZ,华媒控股,传媒
000608.SZ,阳光股份,房地产
000609.SZ,中迪投资,房地产
000610.SZ,西安旅游,休闲服务
000611.SZ,天首发展,纺织服装
000612.SZ,焦作万方,有色金属
000613.SZ,大东海A,休闲服务
000615.SZ,京汉股份,房地产
000616.SZ,海航投资,房地产
000617.SZ,中油资本,非银金融
000619.SZ,海螺型材,建筑材料
000620.SZ,新华联,房地产
000622.SZ,恒立实业,汽车
000623.SZ,吉林敖东,医药生物
000625.SZ,长安汽车,汽车
000626.SZ,远大控股,商业贸易
000627.SZ,天茂集团,非银金融
000628.SZ,高新发展,建筑装饰
000629.SZ,攀钢钒钛,采掘
000630.SZ,铜陵有色,有色金属
000631.SZ,顺发恒业,房地产
000632.SZ,三木集团,综合
000633.SZ,合金投资,有色金属
000635.SZ,英力特,化工
000636.SZ,风华高科,电子
000637.SZ,茂化实华,化工
000638.SZ,万方发展,综合
000639.SZ,西王食品,农林牧渔
000650.SZ,仁和药业,医药生物
000651.SZ,格力电器,家用电器
000652.SZ,泰达股份,综合
000655.SZ,*ST金岭,采掘
000656.SZ,金科股份,房地产
000657.SZ,中钨高新,有色金属
000659.SZ,珠海中富,轻工制造
000661.SZ,长春高新,医药生物
000662.SZ,天夏智慧,计算机
000663.SZ,永安林业,轻工制造
000665.SZ,湖北广电,传媒
000666.SZ,经纬纺机,非银金融
000667.SZ,美好置业,房地产
000668.SZ,荣丰控股,房地产
000669.SZ,金鸿控股,公用事业
000670.SZ,盈方微,电子
000671.SZ,阳光城,房地产
000672.SZ,上峰水泥,建筑材料
000673.SZ,当代东方,传媒
000676.SZ,智度股份,传媒
000677.SZ,恒天海龙,化工
000678.SZ,襄阳轴承,汽车
000679.SZ,大连友谊,房地产
000680.SZ,山推股份,机械设备
000681.SZ,视觉中国,传媒
000682.SZ,东方电子,电气设备
000683.SZ,远兴能源,化工
000685.SZ,中山公用,公用事业
000686.SZ,东北证券,非银金融
000687.SZ,华讯方舟,通信
000688.SZ,国城矿业,有色金属
000690.SZ,宝新能源,公用事业
000691.SZ,亚太实业,房地产
000692.SZ,惠天热电,公用事业
000693.SZ,*ST华泽,有色金属
000695.SZ,滨海能源,公用事业
000697.SZ,炼石有色,有色金属
000698.SZ,沈阳化工,化工
000700.SZ,模塑科技,汽车
000701.SZ,厦门信达,电子
000702.SZ,正虹科技,农林牧渔
000703.SZ,恒逸石化,化工
000705.SZ,浙江震元,医药生物
000707.SZ,*ST双环,化工
000708.SZ,大冶特钢,钢铁
000709.SZ,河钢股份,钢铁
000710.SZ,贝瑞基因,医药生物
000711.SZ,京蓝科技,公用事业
000712.SZ,锦龙股份,非银金融
000713.SZ,丰乐种业,农林牧渔
000715.SZ,中兴商业,商业贸易
000716.SZ,黑芝麻,食品饮料
000717.SZ,韶钢松山,钢铁
000718.SZ,苏宁环球,房地产
000719.SZ,中原传媒,传媒
000720.SZ,*ST新能,公用事业
000721.SZ,西安饮食,休闲服务
000722.SZ,湖南发展,公用事业
000723.SZ,美锦能源,采掘
000725.SZ,京东方A,电子
000726.SZ,鲁泰A,纺织服装
000727.SZ,华东科技,电子
000728.SZ,国元证券,非银金融
000729.SZ,燕京啤酒,食品饮料
000731.SZ,四川美丰,化工
000732.SZ,泰禾集团,房地产
000733.SZ,振华科技,电子
000735.SZ,罗牛山,农林牧渔
000736.SZ,中交地产,房地产
000737.SZ,*ST南风,化工
000738.SZ,航发控制,国防军工
000739.SZ,普洛药业,医药生物
000750.SZ,国海证券,非银金融
000751.SZ,锌业股份,有色金属
000752.SZ,西藏发展,食品饮料
000753.SZ,漳州发展,汽车
000755.SZ,*ST三维,化工
000756.SZ,新华制药,医药生物
000757.SZ,浩物股份,汽车
000758.SZ,中色股份,有色金属
000759.SZ,中百集团,商业贸易
000760.SZ,斯太尔,汽车
000761.SZ,本钢板材,钢铁
000762.SZ,西藏矿业,采掘
000766.SZ,通化金马,医药生物
000767.SZ,漳泽电力,公用事业
000768.SZ,中航飞机,国防军工
