Code,Name,Industry,Weight
002302.SZ,西部建设,建筑材料,0.14
002308.SZ,威创股份,计算机,0.13
002317.SZ,众生药业,医药生物,0.17
002332.SZ,仙琚制药,医药生物,0.16
002340.SZ,格林美,有色金属,0.46
002342.SZ,巨力索具,机械设备,0.07
002344.SZ,海宁皮城,商业贸易,0.09
002345.SZ,潮宏基,轻工制造,0.1
002353.SZ,杰瑞股份,机械设备,0.24
002354.SZ,天神娱乐,传媒,0.13
002358.SZ,森源电气,电气设备,0.19
002359.SZ,北讯集团,通信,0.3
002366.SZ,台海核电,机械设备,0.21
002368.SZ,太极股份,计算机,0.21
002371.SZ,北方华创,电子,0.26
002373.SZ,千方科技,计算机,0.27
002375.SZ,亚厦股份,建筑装饰,0.11
002384.SZ,东山精密,电子,0.31
002390.SZ,信邦制药,医药生物,0.16
002399.SZ,海普瑞,医药生物,0.19
002400.SZ,省广集团,传媒,0.17
002407.SZ,多氟多,化工,0.25
002408.SZ,齐翔腾达,化工,0.31
002410.SZ,广联达,计算机,0.53
002414.SZ,高德红外,电子,0.12
002416.SZ,爱施德,商业贸易,0.06
002424.SZ,贵州百灵,医药生物,0.13
002426.SZ,胜利精密,机械设备,0.23
002428.SZ,云南锗业,有色金属,0.12
002431.SZ,棕榈股份,建筑装饰,0.2
002434.SZ,万里扬,汽车,0.15
002437.SZ,誉衡药业,医药生物,0.15
002439.SZ,启明星辰,计算机,0.32
002440.SZ,闰土股份,化工,0.22
002444.SZ,巨星科技,机械设备,0.16
002463.SZ,沪电股份,电子,0.15
002465.SZ,海格通信,通信,0.41
002477.SZ,雏鹰农牧,农林牧渔,0.18
002479.SZ,富春环保,公用事业,0.07
002482.SZ,广田集团,建筑装饰,0.11
002489.SZ,浙江永强,轻工制造,0.1
002491.SZ,通鼎互联,通信,0.22
002503.SZ,搜于特,纺织服装,0.12
002505.SZ,大康农业,农林牧渔,0.15
002506.SZ,协鑫集成,电气设备,0.26
002509.SZ,天广中茂,机械设备,0.12
002512.SZ,达华智能,计算机,0.18
002517.SZ,恺英网络,传媒,0.19
002544.SZ,杰赛科技,通信,0.13
002563.SZ,森马服饰,纺织服装,0.2
002573.SZ,清新环境,公用事业,0.21
002583.SZ,海能达,通信,0.24
002588.SZ,史丹利,化工,0.09
002589.SZ,瑞康医药,医药生物,0.39
002600.SZ,领益智造,电子,0.15
002603.SZ,以岭药业,医药生物,0.23
002635.SZ,安洁科技,电子,0.15
002640.SZ,跨境通,商业贸易,0.25
002642.SZ,荣之联,计算机,0.1
002657.SZ,中科金财,计算机,0.11
002663.SZ,普邦股份,建筑装饰,0.09
002665.SZ,首航节能,电气设备,0.17
002670.SZ,国盛金控,非银金融,0.24
002672.SZ,东江环保,公用事业,0.21
002681.SZ,奋达科技,家用电器,0.1
002690.SZ,美亚光电,机械设备,0.18
002699.SZ,美盛文化,传媒,0.18
002701.SZ,奥瑞金,轻工制造,0.18
002707.SZ,众信旅游,休闲服务,0.14
002709.SZ,天赐材料,化工,0.17
002745.SZ,木林森,电子,0.19
002807.SZ,江阴银行,银行,0.14
002815.SZ,崇达技术,电子,0.12
002818.SZ,富森美,商业贸易,0.1
002831.SZ,裕同科技,轻工制造,0.18
002839.SZ,张家港行,银行,0.15
002841.SZ,视源股份,电子,0.11
002916.SZ,深南电路,电子,0.15
002920.SZ,德赛西威,计算机,0.08
300001.SZ,特锐德,电气设备,0.2
300002.SZ,神州泰岳,计算机,0.16
300010.SZ,立思辰,计算机,0.18
300026.SZ,红日药业,医药生物,0.19
300032.SZ,金龙机电,电子,0.06
300039.SZ,上海凯宝,医药生物,0.11
300043.SZ,星辉娱乐,传媒,0.07
300055.SZ,万邦达,公用事业,0.2
300058.SZ,蓝色光标,传媒,0.2
300088.SZ,长信科技,电子,0.29
300113.SZ,顺网科技,传媒,0.2
300115.SZ,长盈精密,电子,0.17
300116.SZ,坚瑞沃能,电气设备,0.07
300133.SZ,华策影视,传媒,0.19
300134.SZ,大富科技,通信,0.12
300146.SZ,汤臣倍健,食品饮料,0.41
300156.SZ,神雾环保,公用事业,0.11
300159.SZ,新研股份,国防军工,0.21
300166.SZ,东方国信,计算机,0.31
300182.SZ,捷成股份,计算机,0.25
300197.SZ,铁汉生态,建筑装饰,0.21
300199.SZ,翰宇药业,医药生物,0.19
300202.SZ,聚龙股份,计算机,0.08
300244.SZ,迪安诊断,医药生物,0.15
300253.SZ,卫宁健康,计算机,0.41
300257.SZ,开山股份,机械设备,0.14
300266.SZ,兴源环境,公用事业,0.13
300273.SZ,和佳股份,医药生物,0.1
300274.SZ,阳光电源,电气设备,0.22
300287.SZ,飞利信,计算机,0.21
300291.SZ,华录百纳,传媒,0.07
300297.SZ,蓝盾股份,计算机,0.13
300308.SZ,中际旭创,通信,0.15
300315.SZ,掌趣科技,传媒,0.33
300324.SZ,旋极信息,计算机,0.28
300376.SZ,易事特,电气设备,0.13
300383.SZ,光环新网,通信,0.4
300418.SZ,昆仑万维,传媒,0.31
600004.SH,白云机场,交通运输,0.4
600006.SH,东风汽车,汽车,0.09
600017.SH,日照港,交通运输,0.17
600021.SH,上海电力,公用事业,0.21
600022.SH,山东钢铁,钢铁,0.38
600026.SH,中远海能,交通运输,0.16
600037.SH,歌华有线,传媒,0.19
600039.SH,四川路桥,建筑装饰,0.19
600053.SH,九鼎投资,非银金融,0.07
600056.SH,中国医药,医药生物,0.28
600058.SH,五矿发展,商业贸易,0.1
600060.SH,海信电器,家用电器,0.25
600062.SH,华润双鹤,医药生物,0.28
600064.SH,南京高科,房地产,0.18
600073.SH,上海梅林,食品饮料,0.13
600079.SH,人福医药,医药生物,0.33
600086.SH,东方金钰,轻工制造,0.19
600094.SH,大名城,房地产,0.23
600098.SH,广州发展,公用事业,0.15
600108.SH,亚盛集团,农林牧渔,0.13
600120.SH,浙江东方,商业贸易,0.17
600122.SH,宏图高科,商业贸易,0.19
600125.SH,铁龙物流,交通运输,0.24
600126.SH,杭钢股份,钢铁,0.07
600138.SH,中青旅,休闲服务,0.3
600141.SH,兴发集团,化工,0.16
600143.SH,金发科技,化工,0.27
600151.SH,航天机电,电气设备,0.12
600155.SH,华创阳安,非银金融,0.11
600158.SH,中体产业,传媒,0.21
600160.SH,巨化股份,化工,0.3
600161.SH,天坛生物,医药生物,0.24
600166.SH,福田汽车,汽车,0.26
600167.SH,联美控股,公用事业,0.07
600169.SH,太原重工,机械设备,0.13
600171.SH,上海贝岭,电子,0.18
600179.SH,安通控股,交通运输,0.21
600183.SH,生益科技,电子,0.31
600184.SH,光电股份,国防军工,0.08
600187.SH,国中水务,公用事业,0.11
600195.SH,中牧股份,农林牧渔,0.13
600201.SH,生物股份,农林牧渔,0.51
600216.SH,浙江医药,医药生物,0.2
600240.SH,华业资本,房地产,0.23
600256.SH,广汇能源,化工,0.52
600258.SH,首旅酒店,休闲服务,0.31
600259.SH,广晟有色,有色金属,0.12
600260.SH,凯乐科技,通信,0.31
600266.SH,北京城建,房地产,0.24
600267.SH,海正药业,医药生物,0.21
600270.SH,外运发展,交通运输,0.22
600277.SH,亿利洁能,化工,0.21
600280.SH,中央商场,商业贸易,0.15
600282.SH,南钢股份,钢铁,0.32
600291.SH,西水股份,非银金融,0.27
600292.SH,远达环保,公用事业,0.07
600298.SH,安琪酵母,农林牧渔,0.49
600300.SH,维维股份,食品饮料,0.11
600307.SH,酒钢宏兴,钢铁,0.2
600312.SH,平高电气,电气设备,0.12
600315.SH,上海家化,化工,0.36
600316.SH,洪都航空,国防军工,0.12
600317.SH,营口港,交通运输,0.13
600325.SH,华发股份,房地产,0.31
600329.SH,中新药业,医药生物,0.15
600335.SH,国机汽车,汽车,0.12
600338.SH,西藏珠峰,有色金属,0.13
600348.SH,阳泉煤业,采掘,0.22
600350.SH,山东高速,交通运输,0.08
600366.SH,宁波韵升,有色金属,0.12
600380.SH,健康元,医药生物,0.25
600388.SH,龙净环保,机械设备,0.27
600392.SH,盛和资源,有色金属,0.32
600393.SH,粤泰股份,房地产,0.09
600395.SH,盘江股份,采掘,0.12
600409.SH,三友化工,化工,0.25
600410.SH,华胜天成,计算机,0.26
600416.SH,湘电股份,电气设备,0.14
600418.SH,江淮汽车,汽车,0.24
600422.SH,昆药集团,医药生物,0.12
600426.SH,华鲁恒升,化工,0.59
600428.SH,中远海特,交通运输,0.09
600435.SH,北方导航,国防军工,0.21
600458.SH,时代新材,化工,0.11
600460.SH,士兰微,电子,0.29
600466.SH,蓝光发展,房地产,0.2
600478.SH,科力远,电子,0.14
600481.SH,双良节能,机械设备,0.07
600499.SH,科达洁能,机械设备,0.22
600500.SH,中化国际,化工,0.21
600503.SH,华丽家族,房地产,0.18
600511.SH,国药股份,医药生物,0.23
600517.SH,置信电气,电气设备,0.08
600521.SH,华海药业,医药生物,0.43
600525.SH,长园集团,电气设备,0.36
600528.SH,中铁工业,建筑装饰,0.33
600536.SH,中国软件,计算机,0.2
600545.SH,卓郎智能,机械设备,0.13
600557.SH,康缘药业,医药生物,0.14
600563.SH,法拉电子,电子,0.19
600565.SH,迪马股份,房地产,0.13
600572.SH,康恩贝,医药生物,0.27
600575.SH,皖江物流,交通运输,0.19
600578.SH,京能电力,公用事业,0.13
600580.SH,卧龙电气,电气设备,0.14
600582.SH,天地科技,机械设备,0.17
600584.SH,长电科技,电子,0.45
600594.SH,益佰制药,医药生物,0.15
600597.SH,光明乳业,食品饮料,0.17
600598.SH,北大荒,农林牧渔,0.19
600600.SH,青岛啤酒,食品饮料,0.44
600611.SH,大众交通,交通运输,0.13
600614.SH,鹏起科技,有色金属,0.16
600618.SH,氯碱化工,化工,0.06
600623.SH,华谊集团,化工,0.15
600633.SH,浙数文化,传媒,0.16
600635.SH,大众公用,公用事业,0.21
600639.SH,浦东金桥,房地产,0.09
600640.SH,号百控股,传媒,0.09
600642.SH,申能股份,公用事业,0.41
600643.SH,爱建集团,非银金融,0.29
600645.SH,中源协和,医药生物,0.2
600648.SH,外高桥,房地产,0.2
600649.SH,城投控股,房地产,0.22
600651.SH,飞乐音响,电子,0.09
600655.SH,豫园股份,商业贸易,0.27
600657.SH,信达地产,房地产,0.09
600664.SH,哈药股份,医药生物,0.17
600673.SH,东阳光科,有色金属,0.37
600687.SH,刚泰控股,有色金属,0.12
600694.SH,大商股份,商业贸易,0.13
600717.SH,天津港,交通运输,0.18
600718.SH,东软集团,计算机,0.32
600729.SH,重庆百货,商业贸易,0.23
600737.SH,中粮糖业,农林牧渔,0.23
600743.SH,华远地产,房地产,0.07
600748.SH,上实发展,房地产,0.08
600750.SH,江中药业,医药生物,0.13
600751.SH,海航科技,电子,0.28
600754.SH,锦江股份,休闲服务,0.14
600755.SH,厦门国贸,商业贸易,0.27
600757.SH,长江传媒,传媒,0.1
600759.SH,洲际油气,采掘,0.15
600760.SH,中航沈飞,国防军工,0.45
600765.SH,中航重机,机械设备,0.13
600770.SH,综艺股份,综合,0.13
600773.SH,西藏城投,房地产,0.1
600777.SH,新潮能源,采掘,0.13
600787.SH,中储股份,交通运输,0.23
600801.SH,华新水泥,建筑材料,0.28
600808.SH,马钢股份,钢铁,0.36
600811.SH,东方集团,综合,0.36
600823.SH,世茂股份,房地产,0.18
600827.SH,百联股份,商业贸易,0.23
600835.SH,上海机电,机械设备,0.16
600839.SH,四川长虹,家用电器,0.3
600848.SH,上海临港,房地产,0.19
600859.SH,王府井,商业贸易,0.17
600862.SH,中航高科,国防军工,0.08
600863.SH,内蒙华电,公用事业,0.19
600869.SH,智慧能源,电气设备,0.12
600872.SH,中炬高新,食品饮料,0.44
600874.SH,创业环保,公用事业,0.12
600875.SH,东方电气,电气设备,0.23
600879.SH,航天电子,国防军工,0.44
600881.SH,亚泰集团,建筑材料,0.18
600884.SH,杉杉股份,电子,0.29
600885.SH,宏发股份,电气设备,0.32
600895.SH,张江高科,房地产,0.24
600908.SH,无锡银行,银行,0.15
600917.SH,重庆燃气,公用事业,0.04
600936.SH,广西广电,传媒,0.16
600939.SH,重庆建工,建筑装饰,0.09
600967.SH,内蒙一机,国防军工,0.32
600970.SH,中材国际,建筑装饰,0.21
600971.SH,恒源煤电,采掘,0.1
600978.SH,宜华生活,轻工制造,0.22
600993.SH,马应龙,医药生物,0.14
600996.SH,贵广网络,传媒,0.07
601000.SH,唐山港,交通运输,0.21
601001.SH,大同煤业,采掘,0.12
601016.SH,节能风电,公用事业,0.15
601019.SH,山东出版,传媒,0.06
601020.SH,华钰矿业,有色金属,0.06
601098.SH,中南传媒,传媒,0.26
601127.SH,小康股份,汽车,0.09
601128.SH,常熟银行,银行,0.18
601168.SH,西部矿业,有色金属,0.35
601179.SH,中国西电,电气设备,0.21
601200.SH,上海环境,公用事业,0.16
601233.SH,桐昆股份,化工,0.49
601311.SH,骆驼股份,汽车,0.14
601608.SH,中信重工,机械设备,0.14
601678.SH,滨化股份,化工,0.18
601689.SH,拓普集团,汽车,0.12
601717.SH,郑煤机,机械设备,0.15
601777.SH,力帆股份,汽车,0.1
601801.SH,皖新传媒,传媒,0.13
601811.SH,新华文轩,传媒,0.04
601872.SH,招商轮船,交通运输,0.24
601880.SH,大连港,交通运输,0.17
601928.SH,凤凰传媒,传媒,0.13
601966.SH,玲珑轮胎,化工,0.22
601969.SH,海南矿业,采掘,0.06
603000.SH,人民网,传媒,0.13
603019.SH,中科曙光,计算机,0.63
603025.SH,大豪科技,电气设备,0.04
603056.SH,德邦股份,交通运输,0.08
