Code,Name,Industry
600585.SH,海螺水泥,建筑材料
600588.SH,用友网络,计算机
600606.SH,绿地控股,房地产
600637.SH,东方明珠,传媒
600660.SH,福耀玻璃,汽车
600663.SH,陆家嘴,房地产
600674.SH,川投能源,公用事业
600682.SH,南京新百,商业贸易
600688.SH,上海石化,化工
600690.SH,青岛海尔,家用电器
600703.SH,三安光电,电子
600704.SH,物产中大,综合
600705.SH,中航资本,非银金融
600739.SH,辽宁成大,商业贸易
600741.SH,华域汽车,汽车
600795.SH,国电电力,公用事业
600804.SH,鹏博士,通信
600809.SH,山西汾酒,食品饮料
600816.SH,安信信托,非银金融
600820.SH,隧道股份,建筑装饰
600837.SH,海通证券,非银金融
600867.SH,通化东宝,医药生物
600886.SH,国投电力,公用事业
600887.SH,伊利股份,食品饮料
600893.SH,航发动力,国防军工
600900.SH,长江电力,公用事业
600909.SH,华安证券,非银金融
600919.SH,江苏银行,银行
600926.SH,杭州银行,银行
600958.SH,东方证券,非银金融
600959.SH,江苏有线,传媒
600977.SH,中国电影,传媒
600999.SH,招商证券,非银金融
601006.SH,大秦铁路,交通运输
601009.SH,南京银行,银行
601012.SH,隆基股份,电气设备
601018.SH,宁波港,交通运输
601021.SH,春秋航空,交通运输
601088.SH,中国神华,采掘
601099.SH,太平洋,非银金融
601108.SH,财通证券,非银金融
601111.SH,中国国航,交通运输
601117.SH,中国化学,建筑装饰
601155.SH,新城控股,房地产
601166.SH,兴业银行,银行
601169.SH,北京银行,银行
601186.SH,中国铁建,建筑装饰
601198.SH,东兴证券,非银金融
601211.SH,国泰君安,非银金融
601212.SH,白银有色,有色金属
601216.SH,君正集团,化工
601225.SH,陕西煤业,采掘
601228.SH,广州港,交通运输
601229.SH,上海银行,银行
601238.SH,广汽集团,汽车
601288.SH,农业银行,银行
601318.SH,中国平安,非银金融
601328.SH,交通银行,银行
601333.SH,广深铁路,交通运输
601336.SH,新华保险,非银金融
601360.SH,三六零,计算机
601377.SH,兴业证券,非银金融
601390.SH,中国中铁,建筑装饰
601398.SH,工商银行,银行
601555.SH,东吴证券,非银金融
601600.SH,中国铝业,有色金属
601601.SH,中国太保,非银金融
601607.SH,上海医药,医药生物
601611.SH,中国核建,建筑装饰
601618.SH,中国中冶,建筑装饰
601628.SH,中国人寿,非银金融
601633.SH,长城汽车,汽车
601668.SH,中国建筑,建筑装饰
601669.SH,中国电建,建筑装饰
601688.SH,华泰证券,非银金融
601718.SH,际华集团,纺织服装
601727.SH,上海电气,电气设备
601766.SH,中国中车,机械设备
601788.SH,光大证券,非银金融
601800.SH,中国交建,建筑装饰
601808.SH,中海油服,采掘
601818.SH,光大银行,银行
601828.SH,美凯龙,商业贸易
601838.SH,成都银行,银行
601857.SH,中国石油,采掘
601866.SH,中远海发,交通运输
601877.SH,正泰电器,电气设备
601878.SH,浙商证券,非银金融
601881.SH,中国银河,非银金融
601888.SH,中国国旅,休闲服务
601898.SH,中煤能源,采掘
601899.SH,紫金矿业,有色金属
601901.SH,方正证券,非银金融
601919.SH,中远海控,交通运输
601933.SH,永辉超市,商业贸易
601939.SH,建设银行,银行
601958.SH,金钼股份,有色金属
601985.SH,中国核电,公用事业
601988.SH,中国银行,银行
601989.SH,中国重工,国防军工
601991.SH,大唐发电,公用事业
601992.SH,金隅集团,综合
601997.SH,贵阳银行,银行
601998.SH,中信银行,银行
603160.SH,汇顶科技,电子
603260.SH,合盛硅业,有色金属
603288.SH,海天味业,食品饮料
603799.SH,华友钴业,有色金属
603833.SH,欧派家居,轻工制造
603858.SH,步长制药,医药生物
603993.SH,洛阳钼业,有色金属
